Material,JOB_TYPE,BOARD_TYPE,METAL_CORE_TYPE,HATS_COUPON_TYPE,FAI_TYPE,FINISH_CS,SEL_PLT_CS,NEED_MICROWAVE,EXIST_VCUT,CUST_THK_MEASURE_METOD,SERIAL_NUM,CAM_LAYUP,FINISH_PS,SEL_PLT_PS,EXIST_CU_SPOT,EXIST_CU_FILL,EXIST_SILVER_PRINT,EXIST_LASER,EXIST_SUB,EXIST_IMPEDANCE,EXIST_CU_PASTE,CIRCUIT_TYPE,SAP_HS,SAP_FAMILY_GROUP,PLATED_COUNTERSINK,ETCHBACK,SUPPLY_IN_PCBS_PANEL,EXIST_DR2,SURFACE_CONTAMINATION,COCOON_DEPT_ROUT,VGROOVE_METHOD,PHASE_METHOD,STRAIN_RELIEF,ROUTING_PHASE,PEELABLE,SPEC,COPPER_TYPE_TOP,COPPER_TYPE_BOT,SPOT_TYPE,PASTE_APPLY,SILK,PASTE_TYPE,FAMILY_GROUP,CU_SPOT_SIDE,ETCH_PROTECT_CS,ETCH_PROTECT_PS,COCOON_TYPE,THICKNESS_CALC_METHOD,CUSTOMER,CUSTOMER_REV,ME_DATA_TO_C_FLSTOCKRECEIPT,ME_MTR_GROUP,ME_DATA_TO_C_ASSEMBLY,ME_DATA_TO_C_REMOVAL,PROC_CODE,SM_SIDE,SS_SIDE,CROSS_SEC_NUM,SUPPLY_IN_ARRAY,HS_VENDOR,END_USE_MATERIAL,WRAP_REQUIRMENT,GROUP_B,ALLOW_REJECTS_IN_ARRAY,IMAGE_ENG,CUSTOMER_ITEM,END_CUSTOMER,LEADING_MATERIAL,SM_COLOR_CS,SM_COLOR_PS,SS_COLOR_CS,SS_COLOR_PS,BURIED_RESISTOR_EXIST,BURIED_CAPACITOR_EXIST,CAVITY_EXIST,JOB_NON_STOCK_MATERIAL,AIR_CAVITY,JOB_LASER_TYPE,CARBON
M1H822C-A,,MILITARY,,,,HAL,,,,,,,HAL,,,,,,,,,RIGID,,GLASS EPOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1H822D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,MANUAL,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10381,C,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,YELENAC,CN3E0501D,10208,M1H822D-A,,,,,,,,,,,
M1H822E-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,MANUAL AND MACHINE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,ELLAE,CN3E0501D,10208,M1H822E-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1H832C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,ELLAE,S25ZC101A,10324,M1H832C-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1H833B-A,STANDARD,MILITARY,NONE,NONE,NONE,FULL_SGLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,FULL_SGLD,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,CERAMIC,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,NONE,CS-PS,ALL,NO,NONE,NO,IPC 6012 CLASS3,NO,NA,OLEGF,1093P081-001,10333,M1H833B-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1H851C-A,STANDARD,COMMERCIAL,NONE,NONE,PER AS9102 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,D,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,OLEGF,20723221000,,M1H851C-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1H851D-A,STANDARD,MILITARY,NONE,NONE,PER AS9102 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,F,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,YAKOVM,20723221000,,M1H851D-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1H861B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GMN,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10190,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,NONE,600-2011-184,,M1H861B-A,,,,,,,,,,,
M1H867E-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,NO,NO,NO,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,RD,OVER MASK ON PLATED COPPER,10543,B,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6013 CLASS3,NO,NA,IGORK,MMA76330101D,10012,M1H867E-A,,,,,,,,,,,
M1H868C-A,STANDARD,MILITARY,NONE,EXTERNAL,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,YES,NO,NO,NO,NO,YES,NO,RIGID,NO,POLYAMID,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,THROUGH,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,,,,,,1020A962-001A,10333,M1H868C-A,,,,,,,,,,,
M1H935C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,B,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,NONE,2073-32630-00,10341,M1H935C-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1H940C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,TEFLON,NO,YES,YES,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,B,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,,,,,,FMCM10501B,10208,M1H940C-A,,,,,,,,,,,
M1H977B-A,,MILITARY,,,,,,,,,,,,,,,,,,,,RIGID FLEX,,KAPTON,,,,,,,,,,,,IPC 6013 CLASS3,,,,,,,,,,,,,,,NONE,IPC 6013 CLASS3,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1H987B-A,,COMMERCIAL,,,,HAL,,,,,,,HAL,,,,,,,,,RIGID,,GLASS EPOXY,,,YES,,,,,,,,,IPC 6012 CLASS3,,,,,,,,,,,,,10341,,NONE,IPC 6012 CLASS3,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1I001A-A,STANDARD,MILITARY,NONE,NONE,NONE,NONE,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,NONE,NONE,NO,NO,NO,YES,NO,YES,YES,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,NONE,J85936A,10324,M1I001A-A,,,,,,,,,,,
M1I001B-A,STANDARD,MILITARY,NONE,NONE,NONE,NONE,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,NONE,NONE,NO,NO,NO,YES,NO,YES,YES,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,NONE,J85936A RB,10324,M1I001A-A,,,,,,,,,,,
M1I001C-A,,MILITARY,,,,CHM_GOLD,,,,,,,CHM_GOLD,,,,,,,YES,YES,RIGID,,MIX,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,NO,,,,,,,,,,,,,,,,,,,,
M1I001D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,YES,NO,YES,YES,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,VACUUM,SPRINT,LASER-THROUGH,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,E,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,ALEXK,J85936A,10324,M1I001D-A,,,,,NO,NO,NO,,,,
M1I002A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,YES,NO,YES,YES,RIGID,NO,CERAMIC,YES,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,VACUUM,SCREEN,THROUGH,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,ALEXK,1094W522-001,10333,M1I002A-A,,,,,,,,,,,
M1I003A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,CUT,NONE,NO,NONE,NONE,IPC 6012 CLASS2,SIGNAL,MIXED,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10315,,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,ALEXK,P5827,10315,M1I003A-A,,,,,,,,,,,
M1K163B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER LAMINATE,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GMN,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,GMN,NONE,ARTWORK,ARTWORK,NONE,OVER LAMINATE,10190,D,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS,PARTIAL,NO,NONE,,,,,,600-2004-661,,M1K163B-A,,,,,,,,,,,
M1K189B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,YES,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,C,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,KOSTAS,2187-32480-00,10341,M1K189B-A,,,,,,,,,,,
M1K190B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,YES,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,YELENAC,2187-32460-00,10341,M1K190B-A,,,,,,,,,,,
M1K191B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,D,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,YELENAC,2187-32420-00,10341,M1K191B-A,,,,,,,,,,,
M1K193B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,YES,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,MIXED,MIXED,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,C,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,OLEGF,2187-32450-00,10341,M1K193B-A,,,,,,,,,,,
M1K193C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,YES,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,MIXED,MIXED,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,C,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,OLEGF,2187-32450-00,10341,M1K193C-A,,,,,,,,,,,
M1K269A-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1K269B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER ACCESSORY,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,POLYAMID,NO,NO,NO,YES,YES,NO,NONE,NONE,NO,HOLE,NONE,MIL PRF 55110G,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER ACCESSORY,10302,A,NONE,MIL PRF 55110G,NONE,NONE,ABHS,CS-PS,PS,ALL,NO,PCB,NO,NONE,NO,NA,YELENAC,4498-2901-00,,M1K269B-A,,,,,,,,,,,
M1K278B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,B,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,NONE,2112-32664-00,10341,M1K278B-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1K334D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10316,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,,,,,,D004-3126-501,,M1K334D-A,,,,,,,,,,,
M1K343D-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10249,AO,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,SASHAS,705R275A,10249,M1K343D-A,,,,,,,,,,,
M1K423G-A,STANDARD,MILITARY,NONE,EXTERNAL,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,YES,NO,NO,NO,NO,YES,NO,RIGID,NO,POLYAMID,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,THROUGH,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,,,,,,2020D152-004,10333,M1K423G-A,,,,,,,,,,,
M1K460G-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10304,J,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,,,,,,M714B01,10304,M1K460G-A,,,,,,,,,,,
M1K460H-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,L,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,SASHAS,M714B01,12146,M1K460H-A,,,,,,,,,,,
M1K480G-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,C,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,ALEXK,M245B01,12146,M1K480G-A,,,,,,,,,,,
M1K485A-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11026,,,,,,,,,,,,,,,,,30613435000,,,,,,,,,,,,,
M1K485B-A,STANDARD,COMMERCIAL,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,NO,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,SIGNAL,MIXED,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,11026,,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,,,,,,,,,30613436000,11026,M1K485B-A,,,,,,,,,,,
M1K485C-A,STANDARD,COMMERCIAL,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,NO,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12314,,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,NONE,NO,NONE,NO,NONE,NO,NA,OLEGF,30613436000,11026,M1K485C-A,,,,,NO,NO,NO,,,,
M1K537D-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON ACCESSORY,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,YES,YES,NO,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS2,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON ACCESSORY,10341,C,NONE,IPC 6013 CLASS2,NONE,NONE,ABST,CS-PS,CS-PS,ALL,NO,NONE,,,,,,2048-32100-00,,M1K537D-A,,,,,,,,,,,
M1K549C-A,,,,,,,,,,,,,,,,,,,,,,RIGID,,,,,,,,,,,,,,IPC 6012 CLASS3,,,,,,,,,,,,,10341,,NONE,IPC 6012 CLASS3,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1K549D-A,STANDARD,COMMERCIAL,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,YES,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,B,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,,,,,,208932820-00,10341,M1K549D-A,,,,,,,,,,,
